М6048979001,Мелодия,,Владимир Высоцкий
М6048943009,Мелодия,,Владимир Высоцкий
М6048759008,Мелодия,,Владимир Высоцкий
М6048703002,Мелодия,,Владимир Высоцкий
М6048023007,Мелодия,,Владимир Высоцкий
М6048503001,Мелодия,,Владимир Высоцкий
М6048501007,Мелодия,,Владимир Высоцкий
М6048259000,Мелодия,,Владимир Высоцкий
М6048257006,Мелодия,,Владимир Высоцкий
М6048025001,Мелодия,,Владимир Высоцкий
С60147612,Мелодия,,Владимир Высоцкий
С6028463007,Мелодия,,
C6028425006,Мелодия,,
С9026733000,Мелодия,,
С6025129005,Мелодия,,
С6026903007,Мелодия,,
С6027023005,Мелодия,,
А6000439008,Мелодия,,
С6027505004,Мелодия,,
С6025987002,Мелодия,,
С6027363007,Мелодия,,
С6028961008,Мелодия,,
М6048371000,Мелодия,,
С6027411006,Мелодия,,
А6000551008,Мелодия,,
С9026795003,Мелодия,,
BTA11920,Балкантон,,
С6027413000,Мелодия,,
С6028805005,Мелодия,,
11154399,CBS,,
С1002953004,Мелодия,,
С60182778,Мелодия,,
С 60—14203-04,Мелодия,,
СМ0428788,Мелодия,,
729212,DMM,Not in base,
729120,DMM,Not in base,
С6025773006,Мелодия,,
С60106756,Мелодия,,
С6019689005,Мелодия,,
С6027501005,Мелодия,,
С9026851004,Мелодия,,
729062063,DMM,Not in base,
С6026583006,Мелодия,,
С6027607004,Мелодия,,
С6027863004,Мелодия,,
С6027207002,Мелодия,,
33 Д 025609-10,Мелодия,,
С9028449003,Мелодия,,
С6023581008,Мелодия,,
С60-17637-8,Мелодия,,
33СМ-029997-8,Мелодия,Not in base,
С601720910,Мелодия,,
С6022701003,Мелодия,,
С60130056,Мелодия,,
845158,AMIGA,,
С60-18711-12,Мелодия,,
М6048605001,Мелодия,,
М4047601008,Мелодия,,
С601580910,Мелодия,,
С6025215005,Мелодия,,
М6038762/М6038761,Мелодия,,
С6027991004,Мелодия,,
729024,DMM,,
А1000095006,Мелодия,,
С60182756,Мелодия,,
С6027775001,Мелодия,,
С6028893008,Мелодия,,
С6027415005,Мелодия,,
С6027209007,Мелодия,,
С6026141004,Мелодия,,
С6026039000,Мелодия,,
С6022523006,Мелодия,,
С6029139004,Мелодия,,
С6020963008,Мелодия,,
С6026573002,Мелодия,,
С60156012,Мелодия,,
Д02903536,Мелодия,,
А6000543007,Мелодия,,
С60273557004,Мелодия,,
С6026139006,Мелодия,,
А6000415006,Мелодия,,
729012,DMM,,
ВТА11999,Балкантон,,
С6023579008,Мелодия,,
С6027211005,Мелодия,,
С6022701003,Мелодия,,
С6029477007,Мелодия,,
С6026047002,Мелодия,,
С6019791009,Мелодия,,
С6022285006,Мелодия,,
С1003291001,Мелодия,,
С600740304,Мелодия,,
С6023581008,Мелодия,,
С6027605007,Мелодия,,
С60093534,Мелодия,,
М6049395007,Мелодия,,
М6049415001,Мелодия,,
С6024325002,Мелодия,,
С6025543006,Мелодия,,
С600525960,Мелодия,,
С6006823 / С6006824,Мелодия,,
С6008235 / С6008236,Мелодия,,
С6030471006,Мелодия,,
С6030251002,Мелодия,,
С6027923004,Мелодия,,
С60 13515 16,Мелодия,,
С6028891003,Мелодия,,
С6026349003,Мелодия,,
С60 1086 12,Мелодия,,
С60052734,Мелодия,,
С6029333007,Мелодия,,
СМ032534,Мелодия,,
А1000135003,Мелодия,,
С6027767008,Мелодия,,
С601158586,Мелодия,,
С6029553000,Мелодия,,
С60 23927 005,Мелодия,Not in base,
С6005459 / С6005460,Мелодия,,
С6029255009,Мелодия,,
С6024865005,Мелодия,,
С9026699007,Мелодия,,
С6026201004,Мелодия,,
С6022151002,Мелодия,,
СМ040412,Мелодия,,
С90 27943 002,Мелодия,,
С6019873006,Мелодия,Not in base,
C6014658,Мелодия,,
C6028895002,Мелодия,,
C6027355005,Мелодия,,
C6010433 / C6010434,Мелодия,,
C60 29141 008,Мелодия,,
С6025179007,Мелодия,,
С60 10865 66,Мелодия,,
С6012048,Мелодия,,
С60 20225 009,Мелодия,,
C60081712,Мелодия,,
33С-04739-40,Мелодия,,
С6025541001,Мелодия,,
С6028791008,Мелодия,,
С60059156,Мелодия,,
С50067078,Мелодия,,
С6029393005,Мелодия,,
С6021299007,Мелодия,,
С60070778,Мелодия,,
С6006683 / С6006684,Мелодия,,
33 С 01409-10,Мелодия,,
1 15 2417,Suprahon,,
С60115434,Мелодия,,
1 13 2380,Suprahon,,
С6020173000,Мелодия,,
BTA2156,Балкантон,,
С6023483007,Мелодия,,
С9026701007,Мелодия,,
С6022695004,Мелодия,,
С60087934,Мелодия,,
С60087934,Мелодия,,
С60087934,Мелодия,,
С60087934,Мелодия,,
С60130078,Мелодия,,
BTA10279,Балкантон,,
С6020109002,Мелодия,,
С6024129000,Мелодия,,
33С 90 05447 48,Мелодия,,
С60 25573 005,Мелодия,,
С60 12953 4,Мелодия,,
С6029467000,Мелодия,,
С6024651009,Мелодия,,
С6029491006,Мелодия,,
С6025375009,Мелодия,,
С601421112,Мелодия,,
С60084678,Мелодия,,
С6005391 / С6005392,Мелодия,,
С60152978,Мелодия,,
С6007403 / С6007404,Мелодия,,
С60060534,Мелодия,,
С600783940,Мелодия,,
С600550910,Мелодия,,
С60106756,Мелодия,,
С6005035 / С6005036,Мелодия,,
С6014615-16,Мелодия,,
С6005623 / С6005624,Мелодия,,
С6027087002,Мелодия,,
С9026849006,Мелодия,,
С6024869004,Мелодия,,
С6030603007,Мелодия,,
С6027097009,Мелодия,,
С6023481002,Мелодия,,
С60-09801-2,Мелодия,,
С60-17663-4,Мелодия,,
С60-09799-800,Мелодия,,
С60-09799-800,Мелодия,,
С60-13771-2,Мелодия,,
С60-13771-2,Мелодия,,
М60 38587-8,Мелодия,,
С6022147000,Мелодия,,
С6028729001,Мелодия,,
С6022697009,Мелодия,,
SX1557,Pronit,,
С6017019-20,Мелодия,,
С6020963008,Мелодия,,
А60 00543 007,Мелодия,,
С60 16579 80,Мелодия,,
С60 09801-2,Мелодия,,
33Д23003,Мелодия,,
М51 21693 006,Мелодия,,
33Д260278,Мелодия,,
Д350034,Мелодия,,
Д2470708,Мелодия,,
Д3502930,Мелодия,,
88985336751,Sony Music,,
94399822210,Sony Music,,
5797704,Universal Music,,
